No,Category,Evaluation Criteria (Amharic),Very Low (1),Low (2),Average (3),High (4),Very High (5),Not Applicable
1,Core Competency,የትምህርቱን ዓላማ፣ዝርዝር ይዘት/ ኮርስ አውትላይን/ በግልፅ ያሳውቃል፤ በጊዜ ሰሌዳ መጥኖ ያዘጋጃል፣ያቀርባል፣ለተማሪው አባዝቶ ይሰጣል,1,2,3,4,5,NA
2,Core Competency,ስለሚያስተምረው ትምህርት ተገቢ ዝግጅት አድርጎ በትምህርቱ ዝርዝር ይዘት መሠረት ያቀርባል,1,2,3,4,5,NA
3,Core Competency,ለሚያስተምረው ትምህርት አስፈላጊ ጽሁፎችን አዘጋጅቶ ይመጣል,1,2,3,4,5,NA
4,Core Competency,ለሚያስተምረው ትምህርት ጠቃሚ የሆኑትን በቤተመፅሐፍት ዉስጥ ያሉ ማጣቀሻ መፃህፍት ዝርዝር (Reference) አዘጋጅቶ ለተማሪዎች ይሰጣል,1,2,3,4,5,NA
5,Core Competency,እንደአስፈላጊነቱ የተግባር ልምምድ ይሰጣል (ዎርክሾፕ፣ ላቦራቶሪ፣ የመስክ ጉብኝት፣ case study ወዘተ),1,2,3,4,5,NA
6,Core Competency,በሚያስተምረው ትምህርት ላይ መሰረታዊና በቂ ዕወቀት አለው,1,2,3,4,5,NA
7,Professional Competency,ትምህርቱን በማስተማሪያ ቋንቋ በመጠቀም ተማሪዎች በሚረዱ መልኩ በግልጽ ያቀርባል,1,2,3,4,5,NA
8,Professional Competency,የተለያዩ የትምህርት መርጃ መሣሪያዎችን በመጠቀም ያስተምራል,1,2,3,4,5,NA
9,Professional Competency,ለትምህርቱ ጠቃሚ የሆኑ መልመጃዎችን ይሰጣል ፤ ያርማል (Class work,"1","2",3,4,5,NA,,
10,Professional Competency,በመተባበር መማር (COOPERATIVE LEARNING) አደረጃጀት ወይም የቡድን ሰራ በክፍል ውስጥ አሳታፊ የስነ ማስተማር ዘዴ ተጠቅሞ ያስተምራል,1,2,3,4,5,NA
11,Professional Competency,ተከታታይ ምዘናን በትክክልና በአግባቡ ይተገብራል ፣ የተከታታይ ምዘና ውጤትን ግብረ መልስ በአጭር ጊዜ ውስጥ ይሰጣል,1,2,3,4,5,NA
12,Professional Competency,በተከታታይ ምዘና ውጤት መሰረት በትምህርታቸው ዝቅተኛ ውጤት ላመጡ ተማሪዎች ድጋሚ ፈተና ይሰጣል,1,2,3,4,5,NA
13,Professional Competency,ለሴት ተማሪዎች ፣ ከታዳጊ ክልል ለመጡ ተማሪዎች ፣ በትምህርታቸው ድጋፍ ለሚሹ ተማሪዎች እና የምዘና ውጤትን መሰረት በማድረግ በውጤታቸው ዝቅ ላሉ ተማሪዎች ቱቶሪያል ይሰጣል,1,2,3,4,5,NA
14,Professional Competency,የፈተና ጥያቄዎችን ካስተማረው ትምህርት ጋር አዛምዶ ያወጣል ፣ ሁሉንም ርዕሶችን ይዳስሳል ፣ የተለያዩ የምዘና አይነቶች ያካትታል ፣ በሚሰጣቸው ፈተናዎች ለሚጠቃለሉ ጥያቄዎች ሚዛናዊ የሆነ ዋጋ ይሰጣል,1,2,3,4,5,NA
15,Ethical Competency,ለተማሪዎች ተገቢውን ክብር ይሰጣል,1,2,3,4,5,NA
16,Ethical Competency,በክፍል ውስጥ የተማሪዎችን ጥያቄ ተቀብሎ በአግባቡ ያስተናግዳል ፣ በክፍል ውስጥ ተማሪዎች ስለትምህርቱ ሀሳባቸውንና አስተያየታቸውን በነጻነት እንዲገልጹ ይፈቅዳል,1,2,3,4,5,NA
17,Ethical Competency,በስነ ስርዓት አክባሪነቱ ፣ በሚያሳየው ጨዋነቱና እውቀቱን ለማስተላለፍ በሚያሳየው ቅንነትና ተነሳሽነት በአርአያነት ይጠቀሳል,1,2,3,4,5,NA
18,Ethical Competency,በዘር ፣በሀይማኖትና በፆታ ልዩነት አይፈጥርም ፣ ሁሉንም በእኩል ያያል,1,2,3,4,5,NA
19,Time Management,በተመደበለት የትምህርት ክፍለ ጊዜ ሰዓት አክብሮ ይገኛል ፣ ክፍለ ጊዜውን በአግባቡ ለማስተማር ተግባር ያውላል,1,2,3,4,5,NA
20,Time Management,ተማሪዎችን ለመርዳት የማማከሪያ ሰዓት መድቦ ያሳውቃል ፣ በመደበው ሰዓት ተማሪዎች ለሚያቀርቡት የአካዳሚክ ችግሮች መፍትሄ ይፈልጋል,1,2,3,4,5,NA